,Data,Folds,Vectorizer,Model,Mean Accuracy,Std Accuracy
0,Groundtruth,3,BOW,Logistic Regression,0.8340534979423868,0.020986267403541085
1,Groundtruth,3,BOW,Random Forest,0.842283950617284,0.021504395682834018
2,Groundtruth,3,BOW,SVM,0.8173868312757202,0.006911023067152475
3,Groundtruth,3,BOW,XGBoost,0.8257201646090535,0.010256897230397369
4,Groundtruth,3,BOW,Naive Bayes,0.8631172839506173,0.009460266743206233
5,Groundtruth,3,TFIDF,Logistic Regression,0.8422325102880658,0.016348477945105796
6,Groundtruth,3,TFIDF,Random Forest,0.7882201646090534,0.03753952965174103
7,Groundtruth,3,TFIDF,SVM,0.8257201646090535,0.010256897230397369
8,Groundtruth,3,TFIDF,XGBoost,0.7425411522633745,0.049072186813966225
9,Groundtruth,3,TFIDF,Naive Bayes,0.8547325102880658,0.012204915973490537
10,Prediction,3,BOW,Logistic Regression,0.7842592592592593,0.011188005531106097
11,Prediction,3,BOW,Random Forest,0.7594135802469136,0.028729412355255585
12,Prediction,3,BOW,SVM,0.7511316872427983,0.03458290140938306
13,Prediction,3,BOW,XGBoost,0.775925925925926,0.0102898660976356
14,Prediction,3,BOW,Naive Bayes,0.8300925925925927,0.037342490426066265
15,Prediction,3,TFIDF,Logistic Regression,0.7594650205761316,0.03768515850305028
16,Prediction,3,TFIDF,Random Forest,0.7469650205761317,0.014087702171396934
17,Prediction,3,TFIDF,SVM,0.7386831275720164,0.01898182998999766
18,Prediction,3,TFIDF,XGBoost,0.7012860082304527,0.05657140704669575
19,Prediction,3,TFIDF,Naive Bayes,0.7886316872427983,0.04289833555451652
20,gt_firstname_occupation_link,3,BOW,Logistic Regression,0.8754115226337449,0.035649892474500025
21,gt_firstname_occupation_link,3,BOW,Random Forest,0.8795267489711934,0.03156718276506056
22,gt_firstname_occupation_link,3,BOW,SVM,0.8629629629629628,0.027436171092646396
23,gt_firstname_occupation_link,3,BOW,XGBoost,0.8464506172839507,0.006374035934587452
24,gt_firstname_occupation_link,3,BOW,Naive Bayes,0.8838991769547325,0.014836411156509972
25,gt_firstname_occupation_link,3,TFIDF,Logistic Regression,0.8837448559670782,0.023866538886829686
26,gt_firstname_occupation_link,3,TFIDF,Random Forest,0.8299897119341564,0.02476017074476664
27,gt_firstname_occupation_link,3,TFIDF,SVM,0.8796810699588478,0.02561180879232716
28,gt_firstname_occupation_link,3,TFIDF,XGBoost,0.7923868312757202,0.03926962953251177
29,gt_firstname_occupation_link,3,TFIDF,Naive Bayes,0.8962448559670783,0.006204053453960426
30,Groundtruth,5,BOW,Logistic Regression,0.8547619047619047,0.018671889453997746
31,Groundtruth,5,BOW,Random Forest,0.8380952380952381,0.04065959847128109
32,Groundtruth,5,BOW,SVM,0.8258503401360544,0.03304597258846599
33,Groundtruth,5,BOW,XGBoost,0.8547619047619047,0.04565906883515501
34,Groundtruth,5,BOW,Naive Bayes,0.8712585034013605,0.016279961219361108
35,Groundtruth,5,TFIDF,Logistic Regression,0.8590136054421768,0.030088826416563758
36,Groundtruth,5,TFIDF,Random Forest,0.8051870748299319,0.060362411429560704
37,Groundtruth,5,TFIDF,SVM,0.8507653061224489,0.029705972710223745
38,Groundtruth,5,TFIDF,XGBoost,0.7925170068027211,0.04567521917540488
39,Groundtruth,5,TFIDF,Naive Bayes,0.8754251700680271,0.026699867832866958
40,Prediction,5,BOW,Logistic Regression,0.8133503401360545,0.06011068796577698
41,Prediction,5,BOW,Random Forest,0.7720238095238096,0.05460640448180816
42,Prediction,5,BOW,SVM,0.7760204081632652,0.06336911332120222
43,Prediction,5,BOW,XGBoost,0.7759353741496599,0.057997935050952146
44,Prediction,5,BOW,Naive Bayes,0.8510204081632653,0.05628622259648562
45,Prediction,5,TFIDF,Logistic Regression,0.8093537414965987,0.050583875131726797
46,Prediction,5,TFIDF,Random Forest,0.7510204081632652,0.0437479959941122
47,Prediction,5,TFIDF,SVM,0.7969387755102042,0.0552443677112937
48,Prediction,5,TFIDF,XGBoost,0.7386054421768707,0.009520012605617008
49,Prediction,5,TFIDF,Naive Bayes,0.8134353741496598,0.03625521675956867
50,gt_firstname_occupation_link,5,BOW,Logistic Regression,0.9002551020408163,0.030933686512702296
51,gt_firstname_occupation_link,5,BOW,Random Forest,0.8753401360544217,0.04402873679275966
52,gt_firstname_occupation_link,5,BOW,SVM,0.8671768707482993,0.016950587363214878
53,gt_firstname_occupation_link,5,BOW,XGBoost,0.8670918367346939,0.041136253260539435
54,gt_firstname_occupation_link,5,BOW,Naive Bayes,0.9045068027210885,0.010636392159434554
55,gt_firstname_occupation_link,5,TFIDF,Logistic Regression,0.8920068027210885,0.020835936252777926
56,gt_firstname_occupation_link,5,TFIDF,Random Forest,0.8505102040816326,0.0337292535940599
57,gt_firstname_occupation_link,5,TFIDF,SVM,0.8962585034013605,0.013203567300472091
58,gt_firstname_occupation_link,5,TFIDF,XGBoost,0.805017006802721,0.03088455977035779
59,gt_firstname_occupation_link,5,TFIDF,Naive Bayes,0.9128401360544217,0.0156956297362612
60,Groundtruth,10,BOW,Logistic Regression,0.8506666666666668,0.042276865225952275
61,Groundtruth,10,BOW,Random Forest,0.8671666666666666,0.025210778118363034
62,Groundtruth,10,BOW,SVM,0.8341666666666667,0.03128054063187243
63,Groundtruth,10,BOW,XGBoost,0.8300000000000001,0.02818589087547961
64,Groundtruth,10,BOW,Naive Bayes,0.8753333333333334,0.045957710029015914
65,Groundtruth,10,TFIDF,Logistic Regression,0.8630000000000001,0.032768548606518684
66,Groundtruth,10,TFIDF,Random Forest,0.8256666666666665,0.05218663089762017
67,Groundtruth,10,TFIDF,SVM,0.8465,0.018759442067040964
68,Groundtruth,10,TFIDF,XGBoost,0.7801666666666667,0.06154244244602437
69,Groundtruth,10,TFIDF,Naive Bayes,0.8838333333333335,0.031082774793909362
70,Prediction,10,BOW,Logistic Regression,0.8218333333333334,0.06086163725113619
71,Prediction,10,BOW,Random Forest,0.768,0.07090212345981685
72,Prediction,10,BOW,SVM,0.7801666666666667,0.052400434688612614
73,Prediction,10,BOW,XGBoost,0.8135,0.06951198937353661
74,Prediction,10,BOW,Naive Bayes,0.8468333333333333,0.07341832196393487
75,Prediction,10,TFIDF,Logistic Regression,0.8096666666666668,0.06497349887112094
76,Prediction,10,TFIDF,Random Forest,0.7923333333333332,0.06762724631717933
77,Prediction,10,TFIDF,SVM,0.7971666666666668,0.06320183717442256
78,Prediction,10,TFIDF,XGBoost,0.7424999999999999,0.06986594306241059
79,Prediction,10,TFIDF,Naive Bayes,0.8053333333333335,0.054138710734556665
80,gt_firstname_occupation_link,10,BOW,Logistic Regression,0.9003333333333332,0.04263410215621605
81,gt_firstname_occupation_link,10,BOW,Random Forest,0.8756666666666666,0.03146603106702702
82,gt_firstname_occupation_link,10,BOW,SVM,0.8796666666666667,0.04730398150966433
83,gt_firstname_occupation_link,10,BOW,XGBoost,0.8588333333333333,0.05967062370491308
84,gt_firstname_occupation_link,10,BOW,Naive Bayes,0.9005000000000001,0.04615222397434145
85,gt_firstname_occupation_link,10,TFIDF,Logistic Regression,0.892,0.038418745424597084
86,gt_firstname_occupation_link,10,TFIDF,Random Forest,0.8465,0.055943672067933145
87,gt_firstname_occupation_link,10,TFIDF,SVM,0.892,0.02084066537645411
88,gt_firstname_occupation_link,10,TFIDF,XGBoost,0.7801666666666667,0.03683634980106833
89,gt_firstname_occupation_link,10,TFIDF,Naive Bayes,0.9086666666666667,0.04090503908104994
